"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","BRTVAHA2000332","8704-86-0805","CLOSD","7344 Pickett Avenue, Hanover VA 23111","23111","Hanover","Single Family Residence","12/28/2022","$250,000","$250,000","0","Resale (occupied at least once)","1948","NONE","0","0.37","2","2.0","Public Water","Public Sewer On Site","",""
"1","REIN10464166","24B-3-3-130","CLOSD","7714 Broadstairs Lane #UnitH130, New Kent VA 23124","23124","New Kent","Townhouse","12/28/2022","$330,000","$330,000","0","New (never occupied)","2022","MAIDSTONE VILLAGE","1,914","","3","3.0","Public Water","Public Sewer On Site","",""
"1","REIN10437880","24B-3-3-129","CLOSD","7718 Broadstairs Lane #UnitH129, New Kent VA 23124","23124","New Kent","Townhouse","12/28/2022","$374,000","$378,235","136","New (never occupied)","2022","MAIDSTONE VILLAGE","2,446","","4","4.0","Public Water","Public Sewer On Site","",""
"1","2231390","W019-0186-008","CLOSD","4609 West Franklin Street, Richmond City VA 23226","23226","Richmond City","Single Family Residence","12/29/2022","$1,095,000","$1,100,000","2","New (never occupied)","2022","Colonial Place","3,318","","5","4.1","Public Water","Sewer - Public","Conventional","Other"
"1","2228812","780-762-8794","CLOSD","10020 Greenwood Road, Henrico VA 23060","23060","Henrico","Single Family Residence","12/29/2022","$269,950","$264,850","37","Resale (occupied at least once)","1935","None","2,196","0.22","4","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2230462","8714-82-9250","CLOSD","7020 Bartletts Bluff Road, Hanover VA 23111","23111","Hanover","Single Family Residence","12/29/2022","$489,000","$470,000","17","Resale (occupied at least once)","2005","Oakley Hill","3,129","0.70","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2230009","736-756-0308","CLOSD","12191 Stokesley Court, Henrico VA 23233","23233","Henrico","Single Family Residence","12/29/2022","$500,000","$512,000","4","Resale (occupied at least once)","1986","Waterford","2,359","0.59","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","BRTVACF2000350","710677480700000","CLOSD","16409 Avens Water Alley, Chesterfield VA 23120","23120","Chesterfield","Townhouse","12/29/2022","$296,735","$296,735","1","New (never occupied)","2022","NONE AVAILABLE","0","0.00","3","3.0","Public Water","Public Sewer On Site","",""
"1","2216537","814-720-9851","CLOSD","5437 Zoe Court, Henrico VA 23223","23223","Henrico","Single Family Residence","12/29/2022","$385,950","$380,000","71","Resale (occupied at least once)","2015","Oakleys Chase","2,698","0.68","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2228650","734-69-95-36-200-000","CLOSD","12809 Walton Lake Drive, Chesterfield VA 23114","23114","Chesterfield","Single Family Residence","12/29/2022","$440,000","$440,000","12","Resale (occupied at least once)","1997","Walton Lake","2,207","0.31","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230120","737679954100027","CLOSD","3800 Maze Runner Drive #Unit101, Chesterfield VA 23112","23112","Chesterfield","Condominium","12/29/2022","$249,990","$254,990","8","New (never occupied)","2022","Westcott","1,162","","2","2.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2228765","765-748-4587","CLOSD","2721 Acadia Drive #UnitA, Henrico VA 23294","23294","Henrico","Condominium","12/29/2022","$337,290","$337,290","42","New (never occupied)","2022","West Broad Landing","1,608","","2","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2227054","776-760-0719","CLOSD","1826 Leslie Lane, Henrico VA 23228","23228","Henrico","Single Family Residence","12/29/2022","$329,950","$317,000","31","Resale (occupied at least once)","1972","North Run Terrace","1,828","0.26","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2227770","725709953700000","CLOSD","1669 Ewing Park Loop, Chesterfield VA 23113","23113","Chesterfield","Townhouse","12/29/2022","$349,990","$349,990","27","New (never occupied)","2022","Promenade at Winterfield","1,599","","2","2.2","Public Water","Sewer - Public","FHA New","Corporate"
"1","2226178","777-68-04-54-100-000","CLOSD","6613 Irongate Drive, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/29/2022","$305,000","$305,000","57","Resale (occupied at least once)","1981","Irongate","2,032","0.31","3","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2228937","772-68-00-80-800-000","CLOSD","6550 Old Zion Hill Road, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/29/2022","$245,000","$245,000","37","Resale (occupied at least once)","1980","Kings Forest","1,056","0.57","3","1.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2213883","24B-3-3-131","CLOSD","7710 Broadstairs Lane, New Kent VA 23124","23124","New Kent","Townhouse","12/29/2022","$339,000","$339,000","78","New (never occupied)","2022","Maidstone Village","1,667","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2231293","762-68-63-02-900-000","CLOSD","4708 Valencia Place, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","12/29/2022","$305,000","$310,000","5","Resale (occupied at least once)","1990","Glen Wood","1,752","0.61","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230354","793-63-49-24-500-000","CLOSD","3820 Yard Arm Drive, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","12/29/2022","$178,000","$175,000","23","Resale (occupied at least once)","1986","Somerset","996","0.21","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2229395","737-768-5700","CLOSD","12237 Kain Road, Henrico VA 23059","23059","Henrico","Single Family Residence","12/29/2022","$379,000","$370,000","30","Resale (occupied at least once)","1985","None","1,422","0.45","4","2.0","Well","Septic - Conventional","Cash","Individuals"
"1","2228695","814-714-3832","CLOSD","4114 Aspen Shades Parkway, Henrico VA 23231","23231","Henrico","Single Family Residence","12/29/2022","$155,000","$145,000","34","Resale (occupied at least once)","1937","Larchmont","780","0.23","1","1.0","Well","Sewer - Public","VA New","Individuals"
"1","2227677","7812-72-2855","CLOSD","17123 Mountain Road, Hanover VA 23192","23192","Hanover","Single Family Residence","12/29/2022","$369,950","$369,950","34","Resale (occupied at least once)","1960","Montpelier Hills","1,872","6.35","3","1.0","Well","Septic - Conventional","Cash","Individuals"
"1","2224276","817-65-54-15-000-000","CLOSD","12712 Prestonfield Drive, Chesterfield VA 23836","23836","Chesterfield","Townhouse","12/29/2022","$318,500","$320,000","81","Resale (occupied at least once)","2019","Rivers Bend","1,760","0.08","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2204160","8718-28-1492","CLOSD","11498 Georgetown Road, Hanover VA 23116","23116","Hanover","Single Family Residence","12/29/2022","$563,750","$575,375","40","New (never occupied)","2022","None","2,485","6.43","5","3.0","Well","Septic - Conventional","FHA New","Corporate"
"1","2230147","N016-0084-023","CLOSD","3702 Westcliffe Avenue, Henrico VA 23222","23222","Henrico","Single Family Residence","12/29/2022","$199,900","$195,000","26","Resale (occupied at least once)","1976","Norcliffe","1,358","0.06","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2209145","to be determined","CLOSD","14405 Hancock Towns Drive #UnitH 10-2, Chesterfield VA 23832","23832","Chesterfield","Condominium","12/29/2022","$385,890","$385,890","0","New (never occupied)","2022","Hancock Village","2,421","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2200275","33B13 4 P 50","CLOSD","11421 Pine Needles Drive, New Kent VA 23140","23140","New Kent","Single Family Residence","12/29/2022","$461,950","$520,381","0","New (never occupied)","2022","Brickshire","2,423","","3","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2134713","737679954100026","CLOSD","3900 Maze Runner Drive #Unit102, Chesterfield VA 23112","23112","Chesterfield","Condominium","12/29/2022","$301,480","$303,870","29","New (never occupied)","2021","Wescott","1,559","","2","2.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2129913","737679954100026","CLOSD","3900 Maze Runner Drive #Unit201, Chesterfield VA 23112","23112","Chesterfield","Condominium","12/29/2022","$254,990","$255,465","53","New (never occupied)","2021","Wescott","1,156","","2","2.0","Public Water","Sewer - Public","Cash","Corporate"
"1","2228815","765-760-4989","CLOSD","9621 Hastings Mill Drive, Henrico VA 23060","23060","Henrico","Single Family Residence","12/29/2022","$449,950","$449,950","36","Resale (occupied at least once)","1992","Brittany","2,054","0.34","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2223628","to be determined","CLOSD","3385 Winsford Way #UnitM-3, Henrico VA 23231","23231","Henrico","Townhouse","12/29/2022","$299,480","$299,480","0","New (never occupied)","2022","Village at Millers Lane","1,525","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2219556","J13-2432-4210","CLOSD","7734 Medalist Way, New Kent VA 23124","23124","New Kent","Single Family Residence","12/29/2022","$333,175","$333,175","0","New (never occupied)","2022","Lifestyle at Four Seasons","1,338","","3","2.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2211740","J13-2110-4073","CLOSD","7525 Sothamptonshire Way, New Kent VA 23124","23124","New Kent","Single Family Residence","12/29/2022","$357,865","$357,865","14","New (never occupied)","2021","Lifestyle at Four Seasons","1,338","","3","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2215766","W000-0147-019","CLOSD","212 West Franklin Street #UnitUG01, Richmond City VA 23220","23220","Richmond City","Condominium","12/29/2022","$149,900","$145,000","129","Resale (occupied at least once)","1916","Presidential Court Condo","772","0.02","1","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2212509","69867051380000","CLOSD","18213 Veronica Court, Chesterfield VA 23120","23120","Chesterfield","Single Family Residence","12/29/2022","$575,780","$575,780","0","New (never occupied)","2022","Magnolia Green","2,775","","4","3.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2203863","to be determined","CLOSD","14421 Hancock Towns Drive #UnitH 2-2, Chesterfield VA 23832","23832","Chesterfield","Condominium","12/29/2022","$388,250","$378,150","7","New (never occupied)","2022","Hancock Village","2,421","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2201844","7787-37-9178","CLOSD","10521 Stony Bluff Drive #Unit104, Hanover VA 23005","23005","Hanover","Condominium","12/29/2022","$239,950","$239,950","324","New (never occupied)","2020","Stony Run","829","","1","1.0","Public Water","Sewer - Public","Cash","Corporate"
"1","2229430","764-756-2095.205","CLOSD","8420 Obannon Court #Unit1, Henrico VA 23228","23228","Henrico","Condominium","12/29/2022","$183,950","$186,000","4","Resale (occupied at least once)","1985","Shannon Green Condo","848","0.01","2","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2135562","7717-61-9694","CLOSD","2117 Tuckahoe Bridge Drive, Goochland VA 23103","23103","Goochland","Single Family Residence","12/29/2022","$648,950","$839,467","0","New (never occupied)","2022","Tuckahoe Bridge","3,554","","4","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2232265","58-41-6-18-0","CLOSD","708 Milstead Lane, Goochland VA 23103","23103","Goochland","Single Family Residence","12/29/2022","$797,500","$797,500","3","Resale (occupied at least once)","2014","Kinloch","3,219","0.38","4","3.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2231941","764-740-2478","CLOSD","6906 Park Avenue, Henrico VA 23226","23226","Henrico","Single Family Residence","12/29/2022","$429,950","$430,000","3","Resale (occupied at least once)","1949","Duntreath","2,388","0.33","3","1.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2231905","747-71-34-82-900-000","CLOSD","10616 Savoy Road, Chesterfield VA 23235","23235","Chesterfield","Single Family Residence","12/29/2022","$249,900","$251,200","4","Resale (occupied at least once)","1975","Settlers Landing","2,128","0.21","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2231094","809-726-3636","CLOSD","4209 Riding Place Road, Henrico VA 23223","23223","Henrico","Townhouse","12/29/2022","$244,000","$251,000","2","Resale (occupied at least once)","2008","None","1,452","0.06","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2231090","S000-1363-017","CLOSD","909 West 32nd Street, Richmond City VA 23225","23225","Richmond City","Single Family Residence","12/29/2022","$391,000","$435,000","4","Resale (occupied at least once)","1926","Westover Hills","1,344","0.16","3","1.0","Public Water","Septic - Conventional, Sewer - Public","Conventional","Individuals"
"1","2230846","8724-40-1594","CLOSD","7063 Bonniefield Drive, Hanover VA 23111","23111","Hanover","Single Family Residence","12/29/2022","$345,000","$349,000","3","Resale (occupied at least once)","1971","High Point Farms","1,404","0.48","3","2.0","Public Water","Septic - Conventional","Cash","Individuals"
"1","2230655","744-69-91-83-400-096","CLOSD","301 Kernel Court #Unit301, Chesterfield VA 23236","23236","Chesterfield","Condominium","12/29/2022","$389,000","$396,000","3","Resale (occupied at least once)","2012","Harvest Glen","2,375","33.70","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230647","759-739-5626","CLOSD","7721 Rock Creek Road, Henrico VA 23229","23229","Henrico","Single Family Residence","12/29/2022","$999,950","$1,305,000","6","Resale (occupied at least once)","2015","Westham","3,828","0.33","4","3.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2230603","15-39","CLOSD","8500 Lott Cary Road, Charles City County VA 23140","23140","Charles City County","Single Family Residence","12/29/2022","$260,000","$260,000","7","Resale (occupied at least once)","2018","None","1,348","1.00","3","2.0","Well","Other - See Remarks","Other","Individuals"
"1","2230553","790-738-9315","CLOSD","3810 Plymouth Drive, Henrico VA 23222","23222","Henrico","Single Family Residence","12/29/2022","$182,500","$110,000","34","Resale (occupied at least once)","1947","Chatham Place","720","0.19","2","1.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2230532","24B-3-3-132","CLOSD","7704 Broadstairs Lane, New Kent VA 23124","23124","New Kent","Townhouse","12/29/2022","$313,000","$299,000","0","New (never occupied)","2022","Maidstone Village","1,667","","3","2.1","Public Water","Sewer - Public","Cash","Corporate"
"1","2230276","W000-0736-077","CLOSD","1657 West Broad Street #UnitU2, Richmond City VA 23220","23220","Richmond City","Condominium","12/29/2022","$215,000","$235,000","6","Resale (occupied at least once)","1920","None","704","0.02","1","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2229960","803-687-6820","CLOSD","8060 Osborne Turnpike, Henrico VA 23231","23231","Henrico","Single Family Residence","12/29/2022","$349,950","$350,000","4","Resale (occupied at least once)","1820","None","2,299","1.53","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2229873","792-67-17-13-200-000","CLOSD","9016 Perrymont Road, Chesterfield VA 23237","23237","Chesterfield","Single Family Residence","12/29/2022","$105,000","$94,000","3","Resale (occupied at least once)","1948","Crescent Park","608","0.28","2","1.0","Public Water","Septic - Conventional","Cash","Estate"
"1","2229693","736-69-42-86-600-000","CLOSD","1605 Kirkgate Lane, Chesterfield VA 23114","23114","Chesterfield","Single Family Residence","12/29/2022","$389,950","$400,000","3","Resale (occupied at least once)","1990","Sycamore Ridge","2,136","0.41","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2229493","748-741-6583","CLOSD","1102 Lakeland Circle, Henrico VA 23229","23229","Henrico","Townhouse","12/29/2022","$249,950","$237,000","46","Resale (occupied at least once)","1988","Waterford Rhye","1,600","0.05","2","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2228808","W019-0212-008","CLOSD","4901 Patterson Avenue, Richmond City VA 23226","23226","Richmond City","Single Family Residence","12/29/2022","$799,000","$770,000","21","Resale (occupied at least once)","1954","Edgewood","2,441","0.20","4","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2228559","W000-1621-023","CLOSD","3408 West Franklin Street, Richmond City VA 23221","23221","Richmond City","Single Family Residence","12/29/2022","$469,000","$415,000","34","Resale (occupied at least once)","1982","None","1,775","0.08","3","2.1","Public Water","Sewer - Public","Conventional","Estate"
"1","2228494","790-755-9236","CLOSD","6310 Fredonia Road, Henrico VA 23227","23227","Henrico","Single Family Residence","12/29/2022","$285,000","$285,000","7","Resale (occupied at least once)","1959","Chamberlayne Farms","1,946","0.41","3","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2228189","730-766-3642.127","CLOSD","4328 Saunders Station Loop #UnitA, Henrico VA 23233","23233","Henrico","Townhouse","12/29/2022","$375,000","$347,500","45","Resale (occupied at least once)","2018","Saunders Station At Broad Hill Centre","1,570","12.55","2","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2227915","782-68-44-80-500-000","CLOSD","5936 Meadowburm Drive, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/29/2022","$280,000","$275,000","50","Resale (occupied at least once)","1967","Meadow Dale","1,544","0.26","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2227740","5-1-0-68-0","CLOSD","5070 Ange Road, Goochland VA 23093","23093","Goochland","Single Family Residence","12/29/2022","$850,000","$750,000","50","Resale (occupied at least once)","2009","None","2,413","99.01","4","2.0","Well","Septic - Conventional","Cash","Individuals"
"1","2227119","764-69-39-58-600-000","CLOSD","3104 Holridge Street, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","12/29/2022","$299,000","$274,000","52","Resale (occupied at least once)","1979","Holly Ridge","1,568","0.18","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2227116","to be determined","CLOSD","14423 Hancock Towns Drive #UnitH 1-2, Chesterfield VA 23832","23832","Chesterfield","Condominium","12/29/2022","$331,690","$331,690","0","New (never occupied)","2022","Hancock Village","1,502","","2","2.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2226389","028-25A","CLOSD","2765 Three Bridge Road, Powhatan VA 23139","23139","Powhatan","Single Family Residence","12/29/2022","$349,950","$349,950","70","New (never occupied)","2022","None","1,350","1.28","3","2.0","Well","Septic - Conventional","VA New","Individuals"
"1","2226234","W021-0178-030","CLOSD","6520 Hanover Avenue, Richmond City VA 23226","23226","Richmond City","Single Family Residence","12/29/2022","$425,000","$429,000","60","Resale (occupied at least once)","1950","Westhampton Heights Annex","1,200","0.17","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2224253","820-65-12-95-800-000","CLOSD","814 East Hundred Road, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","12/29/2022","$124,950","$105,000","61","Resale (occupied at least once)","1954","None","1,131","0.47","3","1.0","Public Water","Septic - Conventional","Cash","Corporate"
"1","2223717","758-735-4168","CLOSD","7110 University Drive, Henrico VA 23229","23229","Henrico","Single Family Residence","12/29/2022","$1,795,000","$1,795,000","10","Resale (occupied at least once)","1941","Westham","4,627","0.81","4","4.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2223194","to be determined","CLOSD","3383 Winsford Way #UnitM-4, Henrico VA 23231","23231","Henrico","Townhouse","12/29/2022","$312,500","$314,500","35","New (never occupied)","2022","Village at Millers Lane","1,525","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2222890","N0160204031","CLOSD","3106 Montrose Avenue, Richmond City VA 23222","23222","Richmond City","Single Family Residence","12/29/2022","$603,388","$675,194","0","New (never occupied)","2022","Ginter Park","2,633","0.31","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2211819","8706-06-6860","CLOSD","8904 Roberta Court, Hanover VA 23116","23116","Hanover","Single Family Residence","12/29/2022","$499,950","$532,805","0","New (never occupied)","2022","Cool Springs","2,038","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2211332","775-65-67-51-700-000","CLOSD","6537 Bolles Landing Court, Chesterfield VA 23831","23831","Chesterfield","Townhouse","12/29/2022","$352,950","$356,285","0","New (never occupied)","2022","IronBridge Townhomes","1,743","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2211006","to be determined","CLOSD","15694 Mosaic Creek Boulevard, Goochland VA 23238","23238","Goochland","Single Family Residence","12/29/2022","$716,074","$716,074","0","New (never occupied)","2022","Mosaic at West Creek","2,343","","4","3.0","Public Water","Sewer - Public","Cash","Corporate"
"1","2210895","to be determined","CLOSD","15692 Mosaic Creek Boulevard, Goochland VA 23238","23238","Goochland","Single Family Residence","12/29/2022","$665,251","$663,692","0","New (never occupied)","2022","Mosaic at West Creek","1,835","","3","2.0","Public Water","Sewer - Public","Cash","Corporate"
"1","2208966","to be determined","CLOSD","14413 Hancock Towns Drive #UnitH 6-2, Chesterfield VA 23832","23832","Chesterfield","Condominium","12/29/2022","$385,890","$391,305","0","New (never occupied)","2022","Hancock Village","2,421","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2208819","to be determined","CLOSD","14417 Hancock Towns Drive #UnitH 4-2, Chesterfield VA 23832","23832","Chesterfield","Condominium","12/29/2022","$385,890","$385,890","0","New (never occupied)","2022","Hancock Village","2,421","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2208816","to be determined","CLOSD","14419 Hancock Towns Drive #UnitH 3-2, Chesterfield VA 23832","23832","Chesterfield","Condominium","12/29/2022","$326,690","$326,690","0","New (never occupied)","2022","Hancock Village","1,502","","2","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2207090","6890-10-7577","CLOSD","19454 Vontay Road, Hanover VA 23102","23102","Hanover","Single Family Residence","12/29/2022","$429,950","$438,818","28","New (never occupied)","2022","None","1,717","10.29","3","2.0","Well","Septic - Conventional","Conventional","Corporate"
"1","2206867","761-65-64-45-700-000","CLOSD","8412 Cypress Pond Lane, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","12/29/2022","$540,950","$648,408","0","New (never occupied)","2022","The Highlands","2,943","","4","3.0","Public Water","Septic - Conventional","FHA New","Corporate"
"1","2206847","TBD","CLOSD","3801 Clarendon Crescent Place, Henrico VA 23223","23223","Henrico","Single Family Residence","12/29/2022","$431,315","$431,315","40","New (never occupied)","2022","Kensington Meadows","2,233","","3","3.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2205482","756-69-12-41-400-000","CLOSD","8801 Rams Crossing Place, Chesterfield VA 23236","23236","Chesterfield","Single Family Residence","12/29/2022","$562,950","$617,146","0","New (never occupied)","2022","Bexley East","3,098","","5","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2203591","42-41-1-24-0","CLOSD","1615 Reed Marsh Place, Goochland VA 23063","23063","Goochland","Single Family Residence","12/29/2022","$700,000","$692,305","43","New (never occupied)","2022","Reed Marsh","3,488","","5","4.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","REIN10464177","24B-3-3-132","CLOSD","7704 Broadstairs Lane, New Kent VA 23124","23124","New Kent","Townhouse","12/29/2022","$313,000","$299,000","0","New (never occupied)","2022","MAIDSTONE VILLAGE","1,667","","3","3.0","Public Water","Public Sewer On Site","",""
"1","REIN10437921","24B-3-3-131","CLOSD","7710 Broadstairs Lane, New Kent VA 23124","23124","New Kent","Townhouse","12/29/2022","$339,000","$339,000","77","New (never occupied)","2022","MAIDSTONE VILLAGE","1,667","","3","3.0","Public Water","Public Sewer On Site","",""
"1","2228486","762-751-0147","CLOSD","2314 Rickde Court, Henrico VA 23294","23294","Henrico","Single Family Residence","12/30/2022","$345,000","$350,000","9","Resale (occupied at least once)","1983","Chowning Place","2,206","0.98","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","BRTVAHA2000270","8735-80-4648","CLOSD","6106 Green House Court, Hanover VA 23111","23111","Hanover","Single Family Residence","12/30/2022","$950,000","$960,000","38","New (never occupied)","2022","NONE AVAILABLE","4,108","5.36","5","5.0","Well","Septic","",""
"1","2215757","W000-0613-008","CLOSD","1209 West Franklin Street, Richmond City VA 23220","23220","Richmond City","Single Family Residence","12/30/2022","$1,249,950","$1,200,000","152","Resale (occupied at least once)","1910","None","6,519","0.09","5","4.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2226750","768676308800000","CLOSD","6400 Whisperwood Drive, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/30/2022","$508,990","$490,200","31","New (never occupied)","2022","Watermark","3,052","","5","3.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2226748","768676529300000","CLOSD","6411 Whisperwood Drive, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/30/2022","$439,390","$432,000","51","New (never occupied)","2022","Watermark","2,618","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2226747","768676535500000","CLOSD","7012 Cogburn Terrace, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/30/2022","$499,990","$497,000","56","New (never occupied)","2022","Watermark","3,052","","5","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2209324","768655356400000","CLOSD","11512 Amara Drive, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","12/30/2022","$638,720","$638,720","0","New (never occupied)","2022","The Highlands","4,165","","5","4.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2231065","768-68-74-22-500-000","CLOSD","6413 Hackney Circle, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/30/2022","$295,000","$298,000","19","Resale (occupied at least once)","1986","Old Coach Hills","1,836","0.17","4","3.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2230931","740-68-78-06-100-000","CLOSD","3300 Tadley Drive, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","12/30/2022","$425,000","$425,000","17","Resale (occupied at least once)","2007","Walnut Grove","2,486","0.37","6","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2228709","758-69-61-81-400-000","CLOSD","8254 Oxer Road, Chesterfield VA 23235","23235","Chesterfield","Single Family Residence","12/30/2022","$289,950","$292,000","33","Resale (occupied at least once)","1984","Foxberry","1,300","0.27","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2220003","782-68-31-51-800-000","CLOSD","4118 Jackie Lane, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/30/2022","$289,000","$289,000","53","Resale (occupied at least once)","1972","Meadow Dale","1,938","","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2231279","735-71-02-65-800-000","CLOSD","12401 Little Pond Lane, Chesterfield VA 23113","23113","Chesterfield","Single Family Residence","12/30/2022","$365,000","$365,000","7","Resale (occupied at least once)","1979","Olde Coach Village","1,728","0.47","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230408","772-737-1674","CLOSD","5302 Fitzhugh Avenue, Henrico VA 23226","23226","Henrico","Single Family Residence","12/30/2022","$599,900","$585,000","8","Resale (occupied at least once)","2003","Shenandoah Place","2,924","0.31","8","8.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2229996","810-688-8905","CLOSD","7980 Varina Road, Henrico VA 23231","23231","Henrico","Single Family Residence","12/30/2022","$350,000","$325,000","0","Resale (occupied at least once)","1995","None","1,800","","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2211315","737679954100027","CLOSD","3800 Maze Runner Drive #Unit401, Chesterfield VA 23112","23112","Chesterfield","Condominium","12/30/2022","$286,990","$286,990","0","New (never occupied)","2022","Wescott","1,156","","2","2.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2228087","785-760-3649.060","CLOSD","723 McCormick Farm Drive #UnitB, Henrico VA 23060","23060","Henrico","Condominium","12/30/2022","$359,970","$359,970","3","New (never occupied)","2022","Retreat at One","2,473","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2216671","7826-67-9112","CLOSD","19384 Beaver Dam Road, Hanover VA 23015","23015","Hanover","Single Family Residence","12/30/2022","$309,950","$285,000","164","Resale (occupied at least once)","1927","None","2,048","2.20","4","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2211923","TBD","CLOSD","3833 Clarendon Crescent Place, Henrico VA 23223","23223","Henrico","Single Family Residence","12/30/2022","$470,560","$470,560","0","New (never occupied)","2022","Kensington Meadows","3,194","","4","3.1","Public Water","Sewer - Public","Conventional","Corporate"
